Process Id,1678255149815687000,Clock Counter,Event Type,Sender,Reciever,Description,Queue Length
2,1678255149815803000,0,CREATE,None,None,(pid: 93976) - (speed: 1) - (recp: 127.0.0.1;3065) - (id: 2),None
2,1678255153822174000,0,RECEIVED,1,2,7,1
2,1678255154822164000,1,INTERNAL,None,None,7,0
2,1678255155822163000,2,RECEIVED,1,2,8,1
2,1678255156822163000,8,INTERNAL,None,None,6,0
2,1678255157822212000,9,SEND,2,1,3,0
2,1678255157822434000,9,SEND,2,3,3,0
2,1678255158822163000,10,INTERNAL,None,None,9,0
2,1678255159822164000,11,INTERNAL,None,None,8,0
2,1678255160822179000,12,SEND,2,1,1,0
2,1678255161822164000,13,RECEIVED,1,2,10,2
2,1678255162822161000,24,RECEIVED,3,2,6,2
2,1678255163822163000,25,RECEIVED,1,2,9,1
2,1678255164822163000,29,RECEIVED,1,2,7,1
2,1678255165822162000,35,INTERNAL,None,None,4,0
2,1678255166822163000,36,INTERNAL,None,None,6,0
2,1678255167822159000,37,RECEIVED,1,2,1,1
2,1678255168822162000,44,RECEIVED,1,2,5,1
2,1678255169822163000,45,INTERNAL,None,None,8,0
2,1678255170822162000,46,INTERNAL,None,None,5,0
2,1678255171822163000,47,RECEIVED,3,2,4,1
2,1678255172822163000,48,RECEIVED,1,2,9,1
2,1678255173822189000,57,SEND,2,1,1,0
2,1678255174822163000,58,RECEIVED,1,2,10,1
2,1678255175822163000,65,INTERNAL,None,None,6,0
2,1678255176822163000,66,RECEIVED,1,2,10,1
2,1678255177822179000,70,SEND,2,1,3,0
2,1678255177822395000,70,SEND,2,3,3,0
2,1678255178822163000,71,INTERNAL,None,None,5,0
2,1678255179822163000,72,RECEIVED,1,2,8,1
2,1678255180822179000,78,RECEIVED,1,2,6,1
2,1678255181822163000,81,RECEIVED,1,2,7,1
2,1678255182822210000,86,SEND,2,1,3,0
2,1678255182822420000,86,SEND,2,3,3,0
2,1678255183822163000,87,RECEIVED,1,2,1,1
2,1678255184822164000,92,INTERNAL,None,None,6,0
2,1678255185822163000,93,RECEIVED,1,2,10,1
2,1678255186822205000,98,SEND,2,1,1,0
2,1678255187822163000,99,INTERNAL,None,None,7,0
2,1678255188822164000,100,INTERNAL,None,None,10,0
2,1678255189822182000,101,RECEIVED,3,2,7,2
2,1678255190822181000,102,RECEIVED,1,2,3,2
2,1678255191822183000,109,RECEIVED,1,2,6,1
2,1678255192822180000,111,INTERNAL,None,None,10,0
2,1678255193822182000,112,RECEIVED,3,2,5,1
2,1678255194822197000,113,SEND,2,1,1,0
2,1678255195822185000,114,RECEIVED,1,2,5,1
2,1678255196822181000,126,RECEIVED,3,2,2,1
2,1678255197822198000,127,RECEIVED,3,2,2,3
2,1678255198822189000,128,RECEIVED,1,2,4,3
2,1678255199822191000,133,RECEIVED,1,2,6,2
2,1678255200822207000,134,RECEIVED,1,2,7,1
2,1678255201822213000,136,SEND,2,3,2,0
2,1678255202822192000,137,INTERNAL,None,None,7,0
2,1678255203822190000,138,INTERNAL,None,None,10,0
2,1678255204822216000,139,RECEIVED,1,2,6,1
2,1678255205822235000,154,RECEIVED,1,2,8,1
2,1678255206822209000,156,INTERNAL,None,None,8,0
2,1678255207822208000,157,INTERNAL,None,None,9,0
2,1678255208822207000,158,RECEIVED,1,2,10,1
2,1678255209822207000,165,RECEIVED,3,2,2,1
2,1678255210822236000,166,RECEIVED,1,2,5,1
2,1678255211822210000,171,INTERNAL,None,None,4,0
2,1678255212822255000,172,INTERNAL,None,None,9,0
2,1678255213822218000,173,RECEIVED,1,2,3,1
2,1678255214822222000,182,INTERNAL,None,None,10,0
2,1678255215822288000,183,SEND,2,1,1,0
2,1678255216822237000,184,INTERNAL,None,None,10,0
