Process Id,1678257961508795000,Clock Counter,Event Type,Sender,Reciever,Description,Queue Length
3,1678257961508939000,0,CREATE,None,None,(pid: 22350) - (speed: 1) - (recp: 127.0.0.1;4467) - (id: 3),None
3,1678257965519445000,0,INTERNAL,None,None,9,0
3,1678257966519418000,1,RECEIVED,2,3,4,1
3,1678257967519417000,9,RECEIVED,2,3,2,1
3,1678257968519417000,14,INTERNAL,None,None,6,0
3,1678257969519415000,15,INTERNAL,None,None,6,0
3,1678257970519418000,16,RECEIVED,2,3,6,1
3,1678257971519461000,33,RECEIVED,2,3,3,2
3,1678257972519413000,36,RECEIVED,2,3,1,4
3,1678257973519434000,41,RECEIVED,2,3,2,3
3,1678257974519414000,42,RECEIVED,1,3,6,3
3,1678257975519415000,43,RECEIVED,2,3,1,5
3,1678257976519420000,46,RECEIVED,1,3,3,4
3,1678257977519436000,49,RECEIVED,1,3,7,4
3,1678257978519418000,50,RECEIVED,2,3,5,4
3,1678257979519418000,61,RECEIVED,1,3,8,4
3,1678257980519417000,62,RECEIVED,2,3,6,5
3,1678257981519435000,75,RECEIVED,2,3,6,5
3,1678257982519413000,82,RECEIVED,2,3,5,5
3,1678257983519415000,87,RECEIVED,2,3,6,5
3,1678257984519416000,92,RECEIVED,2,3,5,5
3,1678257985519416000,95,RECEIVED,1,3,10,6
3,1678257986519417000,96,RECEIVED,1,3,10,7
3,1678257987519414000,97,RECEIVED,2,3,8,10
3,1678257988519415000,109,RECEIVED,2,3,1,9
3,1678257989519419000,116,RECEIVED,1,3,4,9
3,1678257990519416000,117,RECEIVED,2,3,1,9
3,1678257991519420000,123,RECEIVED,1,3,5,11
3,1678257992519414000,124,RECEIVED,2,3,7,13
3,1678257993519416000,131,RECEIVED,2,3,9,12
3,1678257994519415000,132,RECEIVED,2,3,2,12
3,1678257995519416000,134,RECEIVED,2,3,3,13
3,1678257996519446000,135,RECEIVED,2,3,2,14
3,1678257997519427000,136,RECEIVED,2,3,2,14
3,1678257998519428000,145,RECEIVED,2,3,2,13
3,1678257999519428000,154,RECEIVED,2,3,9,13
3,1678258000519427000,158,RECEIVED,2,3,4,14
3,1678258001519427000,159,RECEIVED,2,3,5,14
3,1678258002519426000,161,RECEIVED,2,3,1,15
3,1678258003519430000,163,RECEIVED,2,3,6,15
3,1678258004519425000,164,RECEIVED,2,3,10,15
3,1678258005519426000,165,RECEIVED,2,3,9,16
3,1678258006519427000,179,RECEIVED,1,3,8,17
3,1678258007519426000,180,RECEIVED,2,3,10,18
3,1678258008519430000,183,RECEIVED,1,3,1,19
3,1678258009519429000,184,RECEIVED,2,3,5,20
3,1678258010519428000,186,RECEIVED,2,3,5,20
3,1678258011519426000,192,RECEIVED,1,3,6,19
3,1678258012519426000,195,RECEIVED,2,3,2,19
3,1678258013519444000,210,RECEIVED,1,3,7,20
3,1678258014519427000,211,RECEIVED,2,3,8,20
3,1678258015519428000,221,RECEIVED,2,3,8,20
3,1678258016519427000,223,RECEIVED,2,3,6,21
3,1678258017519427000,226,RECEIVED,2,3,10,21
3,1678258018519425000,229,RECEIVED,2,3,2,20
3,1678258019519435000,236,RECEIVED,2,3,10,21
3,1678258020519442000,242,RECEIVED,2,3,5,21
3,1678258021519428000,243,RECEIVED,2,3,5,22
3,1678258022519425000,246,RECEIVED,2,3,8,23
3,1678258023519427000,247,RECEIVED,2,3,6,22
3,1678258024519426000,254,RECEIVED,2,3,8,22
3,1678258025519427000,257,RECEIVED,2,3,2,21
3,1678258026519428000,258,RECEIVED,2,3,3,21
3,1678258027519427000,262,RECEIVED,2,3,3,21
3,1678258028519429000,264,RECEIVED,2,3,10,20
