Process Id,1678255068269053000,Clock Counter,Event Type,Sender,Reciever,Description,Queue Length
2,1678255068269249000,0,CREATE,None,None,(pid: 93923) - (speed: 3) - (recp: 127.0.0.1;3392) - (id: 2),None
2,1678255071614963000,0,INTERNAL,None,None,10,0
2,1678255071948323000,1,SEND,2,1,1,0
2,1678255072281610000,2,INTERNAL,None,None,4,0
2,1678255072614947000,3,INTERNAL,None,None,6,0
2,1678255072948277000,4,INTERNAL,None,None,6,0
2,1678255073281610000,5,INTERNAL,None,None,5,0
2,1678255073614946000,6,INTERNAL,None,None,10,0
2,1678255073948295000,7,RECEIVED,3,2,5,1
2,1678255074281637000,8,INTERNAL,None,None,7,0
2,1678255074614946000,9,RECEIVED,3,2,4,1
2,1678255074948279000,10,RECEIVED,3,2,6,1
2,1678255075281634000,11,SEND,2,1,3,0
2,1678255075281842000,11,SEND,2,3,3,0
2,1678255075614951000,12,RECEIVED,1,2,1,1
2,1678255075948326000,13,SEND,2,3,2,0
2,1678255076281615000,14,INTERNAL,None,None,5,0
2,1678255076614954000,15,INTERNAL,None,None,4,0
2,1678255076948286000,16,INTERNAL,None,None,5,0
2,1678255077281616000,17,INTERNAL,None,None,10,0
2,1678255077614954000,18,INTERNAL,None,None,6,0
2,1678255077948284000,19,RECEIVED,3,2,1,1
2,1678255078281667000,20,SEND,2,1,1,0
2,1678255078614971000,21,INTERNAL,None,None,9,0
2,1678255078948304000,22,RECEIVED,3,2,6,1
2,1678255079281634000,23,INTERNAL,None,None,8,0
2,1678255079614970000,24,INTERNAL,None,None,4,0
2,1678255079948306000,25,INTERNAL,None,None,5,0
2,1678255080281634000,26,INTERNAL,None,None,4,0
2,1678255080614972000,27,RECEIVED,3,2,9,1
2,1678255080948308000,28,INTERNAL,None,None,4,0
2,1678255081281656000,29,INTERNAL,None,None,8,0
2,1678255081614973000,30,RECEIVED,3,2,4,1
2,1678255081948308000,31,INTERNAL,None,None,4,0
2,1678255082281656000,32,INTERNAL,None,None,10,0
2,1678255082614977000,33,INTERNAL,None,None,8,0
2,1678255082948308000,34,RECEIVED,3,2,4,1
2,1678255083281641000,35,INTERNAL,None,None,5,0
2,1678255083614978000,36,INTERNAL,None,None,7,0
2,1678255083948312000,37,INTERNAL,None,None,6,0
