Process Id,1678291137392672000,Clock Counter,Event Type,Sender,Reciever,Description,Queue Length
2,1678291137392871000,0,CREATE,None,None,(pid: 98745) - (speed: 6) - (recp: 127.0.0.1;3191) - (id: 2),None
2,1678291140577575000,0,INTERNAL,None,None,4,0
2,1678291140744149000,1,INTERNAL,None,None,4,0
2,1678291140910812000,2,INTERNAL,None,None,4,0
2,1678291141077456000,3,INTERNAL,None,None,4,0
2,1678291141244157000,4,INTERNAL,None,None,4,0
2,1678291141410808000,5,INTERNAL,None,None,4,0
2,1678291141577513000,6,INTERNAL,None,None,5,0
2,1678291141744125000,7,INTERNAL,None,None,4,0
2,1678291141910829000,8,INTERNAL,None,None,4,0
2,1678291142077464000,9,INTERNAL,None,None,5,0
2,1678291142244154000,10,INTERNAL,None,None,4,0
2,1678291142410825000,11,INTERNAL,None,None,5,0
2,1678291142577520000,12,SEND,2,3,2,0
2,1678291142744127000,13,INTERNAL,None,None,5,0
2,1678291142910816000,14,INTERNAL,None,None,4,0
2,1678291143077465000,15,INTERNAL,None,None,4,0
2,1678291143244164000,16,INTERNAL,None,None,4,0
2,1678291143410806000,17,INTERNAL,None,None,5,0
2,1678291143577473000,18,INTERNAL,None,None,4,0
2,1678291143744133000,19,INTERNAL,None,None,4,0
2,1678291143910820000,20,INTERNAL,None,None,5,0
2,1678291144077522000,21,SEND,2,1,3,0
2,1678291144077711000,21,SEND,2,3,3,0
2,1678291144244176000,22,INTERNAL,None,None,6,0
2,1678291144410802000,23,INTERNAL,None,None,5,0
2,1678291144577478000,24,INTERNAL,None,None,5,0
2,1678291144744134000,25,INTERNAL,None,None,5,0
2,1678291144910824000,26,INTERNAL,None,None,5,0
2,1678291145077480000,27,INTERNAL,None,None,6,0
2,1678291145244161000,28,INTERNAL,None,None,5,0
2,1678291145410810000,29,INTERNAL,None,None,6,0
2,1678291145577498000,30,INTERNAL,None,None,4,0
2,1678291145744130000,31,INTERNAL,None,None,5,0
2,1678291145910823000,32,INTERNAL,None,None,4,0
2,1678291146077474000,33,INTERNAL,None,None,5,0
2,1678291146244160000,34,INTERNAL,None,None,5,0
2,1678291146410814000,35,INTERNAL,None,None,4,0
2,1678291146577486000,36,INTERNAL,None,None,4,0
2,1678291146744135000,37,INTERNAL,None,None,6,0
2,1678291146910852000,38,INTERNAL,None,None,5,0
2,1678291147077479000,39,INTERNAL,None,None,4,0
2,1678291147244203000,40,SEND,2,3,2,0
2,1678291147410817000,41,INTERNAL,None,None,5,0
2,1678291147577487000,42,INTERNAL,None,None,5,0
2,1678291147744147000,43,INTERNAL,None,None,4,0
2,1678291147910825000,44,INTERNAL,None,None,5,0
2,1678291148077483000,45,INTERNAL,None,None,4,0
2,1678291148244172000,46,INTERNAL,None,None,5,0
2,1678291148410824000,47,INTERNAL,None,None,6,0
2,1678291148577494000,48,RECEIVED,1,2,5,1
2,1678291148744149000,49,INTERNAL,None,None,6,0
2,1678291148910828000,50,INTERNAL,None,None,5,0
