Process Id,1678259162848804000,Clock Counter,Event Type,Sender,Reciever,Description,Queue Length
1,1678259162848921000,0,CREATE,None,None,(pid: 96898) - (speed: 5) - (recp: 127.0.0.1;2534) - (id: 1),None
1,1678259166055733000,0,SEND,1,2,1,0
1,1678259166255446000,1,INTERNAL,None,None,5,0
1,1678259166455435000,2,RECEIVED,3,1,1,1
1,1678259166655461000,3,RECEIVED,2,1,4,1
1,1678259166855460000,4,SEND,1,2,1,0
1,1678259167055455000,5,RECEIVED,2,1,1,1
1,1678259167255494000,6,SEND,1,2,1,0
1,1678259167455443000,7,RECEIVED,3,1,5,1
1,1678259167655461000,8,RECEIVED,3,1,3,1
1,1678259167855466000,9,SEND,1,3,2,0
1,1678259168055474000,10,SEND,1,3,2,0
1,1678259168255454000,11,INTERNAL,None,None,6,0
1,1678259168455480000,12,SEND,1,2,3,0
1,1678259168455699000,12,SEND,1,3,3,0
1,1678259168655479000,13,SEND,1,3,2,0
1,1678259168855465000,14,SEND,1,2,1,0
1,1678259169055444000,15,RECEIVED,2,1,1,1
1,1678259169255482000,16,SEND,1,2,1,0
1,1678259169455452000,17,INTERNAL,None,None,5,0
1,1678259169655464000,18,RECEIVED,3,1,1,1
1,1678259169855469000,19,SEND,1,2,1,0
1,1678259170055446000,20,RECEIVED,3,1,1,1
1,1678259170255463000,21,RECEIVED,3,1,2,1
1,1678259170455449000,22,RECEIVED,3,1,2,1
1,1678259170655527000,23,SEND,1,2,1,0
1,1678259170855481000,24,SEND,1,3,2,0
1,1678259171055449000,25,RECEIVED,3,1,5,1
1,1678259171255488000,26,SEND,1,2,1,0
1,1678259171455458000,27,RECEIVED,3,1,1,1
1,1678259171655566000,28,INTERNAL,None,None,4,0
1,1678259171855484000,29,SEND,1,2,1,0
1,1678259172055457000,30,INTERNAL,None,None,4,0
1,1678259172255469000,31,INTERNAL,None,None,5,0
1,1678259172455465000,32,INTERNAL,None,None,5,0
1,1678259172655477000,33,RECEIVED,3,1,3,1
1,1678259172855482000,34,SEND,1,3,2,0
1,1678259173055454000,35,RECEIVED,3,1,4,1
1,1678259173255471000,36,INTERNAL,None,None,4,0
1,1678259173455462000,37,RECEIVED,3,1,3,1
1,1678259173655534000,38,SEND,1,3,2,0
1,1678259173855488000,39,SEND,1,2,3,0
1,1678259173855653000,39,SEND,1,3,3,0
1,1678259174055497000,40,SEND,1,2,1,0
1,1678259174255499000,41,SEND,1,2,3,0
1,1678259174255625000,41,SEND,1,3,3,0
1,1678259174455472000,42,INTERNAL,None,None,4,0
1,1678259174655480000,43,RECEIVED,3,1,2,1
1,1678259174855492000,44,SEND,1,2,1,0
1,1678259175055466000,45,RECEIVED,3,1,3,1
1,1678259175255499000,46,INTERNAL,None,None,4,0
1,1678259175455465000,47,RECEIVED,3,1,2,1
1,1678259175655517000,48,SEND,1,2,3,0
1,1678259175655654000,48,SEND,1,3,3,0
