Process Id,1678259212688742000,Clock Counter,Event Type,Sender,Reciever,Description,Queue Length
1,1678259212688896000,0,CREATE,None,None,(pid: 23559) - (speed: 1) - (recp: 127.0.0.1;2112) - (id: 1),None
1,1678259216706455000,0,RECEIVED,3,1,9,1
1,1678259217706404000,2,RECEIVED,3,1,3,1
1,1678259218706425000,3,RECEIVED,3,1,3,1
1,1678259219706410000,7,INTERNAL,None,None,5,0
1,1678259220706467000,8,RECEIVED,2,1,8,2
1,1678259221706460000,9,RECEIVED,3,1,8,1
1,1678259222706414000,13,INTERNAL,None,None,9,0
1,1678259223706417000,14,INTERNAL,None,None,10,0
1,1678259224706429000,15,RECEIVED,3,1,7,1
1,1678259225706414000,24,INTERNAL,None,None,4,0
1,1678259226706414000,25,RECEIVED,3,1,7,1
1,1678259227706461000,31,SEND,1,3,2,0
1,1678259228706458000,32,SEND,1,3,2,0
1,1678259229706410000,33,INTERNAL,None,None,10,0
1,1678259230706410000,34,RECEIVED,3,1,8,1
1,1678259231706476000,42,SEND,1,2,1,0
1,1678259232706429000,43,SEND,1,3,2,0
1,1678259233706410000,44,RECEIVED,3,1,10,1
1,1678259234706409000,51,RECEIVED,3,1,7,1
1,1678259235706412000,56,RECEIVED,3,1,8,2
1,1678259236706412000,57,RECEIVED,3,1,7,1
1,1678259237706412000,59,RECEIVED,3,1,6,1
1,1678259238706410000,63,RECEIVED,3,1,4,1
1,1678259239706413000,66,RECEIVED,2,1,9,1
1,1678259240706429000,67,SEND,1,2,1,0
1,1678259241706411000,68,RECEIVED,3,1,5,1
1,1678259242706411000,76,INTERNAL,None,None,7,0
1,1678259243706413000,77,RECEIVED,3,1,10,1
1,1678259244706409000,83,INTERNAL,None,None,6,0
1,1678259245706410000,84,INTERNAL,None,None,10,0
1,1678259246706433000,85,SEND,1,2,1,0
1,1678259247706410000,86,INTERNAL,None,None,7,0
1,1678259248706408000,87,INTERNAL,None,None,10,0
1,1678259249706412000,88,RECEIVED,3,1,10,1
1,1678259250706413000,99,INTERNAL,None,None,5,0
1,1678259251706411000,100,RECEIVED,3,1,6,2
1,1678259252706411000,105,RECEIVED,3,1,10,2
1,1678259253706412000,106,RECEIVED,2,1,4,1
1,1678259254706409000,107,RECEIVED,3,1,4,1
1,1678259255706408000,116,RECEIVED,3,1,3,1
1,1678259256706434000,119,INTERNAL,None,None,7,0
1,1678259257706410000,120,RECEIVED,3,1,3,2
1,1678259258706432000,123,RECEIVED,2,1,4,2
1,1678259259706409000,124,RECEIVED,3,1,3,1
1,1678259260706436000,127,SEND,1,2,1,0
1,1678259261706411000,128,RECEIVED,3,1,10,2
1,1678259262706412000,136,RECEIVED,3,1,8,2
1,1678259263706410000,137,RECEIVED,3,1,7,1
1,1678259264706422000,139,RECEIVED,3,1,4,1
1,1678259265706435000,146,INTERNAL,None,None,8,0
1,1678259266706420000,147,INTERNAL,None,None,9,0
1,1678259267706418000,148,RECEIVED,3,1,5,1
1,1678259268706420000,155,RECEIVED,3,1,1,1
1,1678259269706424000,158,RECEIVED,2,1,5,2
1,1678259270706419000,159,RECEIVED,3,1,6,1
1,1678259271706421000,160,INTERNAL,None,None,5,0
1,1678259272706421000,161,RECEIVED,3,1,9,1
1,1678259273706418000,169,RECEIVED,3,1,10,2
1,1678259274706418000,171,RECEIVED,3,1,9,2
1,1678259275706417000,173,RECEIVED,3,1,4,2
1,1678259276706417000,175,RECEIVED,3,1,8,2
1,1678259277706422000,178,RECEIVED,3,1,9,1
1,1678259278706419000,180,INTERNAL,None,None,5,0
1,1678259279706422000,181,INTERNAL,None,None,4,0
